trained_model,P,E,S,O,SRR,NDR,SDS,NSCR,base_pass_any,trained_pass_any,epsilon
olmo3_nmtron_ivon_LR1.0_GS4_ESS1e9_MC4_freq4,41,8,0,41,1.0,0.16326530612244897,0.2807017543859649,0.16326530612244897,0.45555555555555555,0.5444444444444444,0.011702079193570277
olmo3_nmtron_ivon,41,0,0,49,1.0,0.0,0.0,0.0,0.45555555555555555,0.45555555555555555,0.011702079193570277
olmo3_nmtron_LR1.0_GS_16_ESS1e9_interleave2,41,9,0,40,1.0,0.18,0.3050847457627119,0.18,0.45555555555555555,0.5555555555555556,0.011702079193570277
olmo3_nmtron_adamw_LR1.0_GS16,41,12,0,37,1.0,0.22641509433962265,0.36923076923076925,0.22641509433962265,0.45555555555555555,0.5888888888888889,0.011702079193570277
olmo3_nmtron_ivon,41,0,0,49,1.0,0.0,0.0,0.0,0.45555555555555555,0.45555555555555555,0.011702079193570277
olmo3_nmtron_ivon_LR1.0_GS16_ESS1e9,41,9,0,40,1.0,0.18,0.3050847457627119,0.18,0.45555555555555555,0.5555555555555556,0.011702079193570277
